,,,,,,,,
Category,Skeleton,Animation,Track,Playback,Interupt,Runtime,Events/Skins,Descritpion
,,,,,,,,
Category,Skeleton,Animation,Track,Playback,Interupt,Runtime,Events / Skins,Description
Player characters,,,,,,,,
,,,,,,,,
,player_fighter,attack/1_back,0,oneshot,interuptable,spine,skin: default for all player_fighter,1st chain attack. played once
,player_fighter,attack/1_front,0,oneshot,interuptable,spine,,1st chain attack. played once
,player_fighter,attack/1_left,0,oneshot,interuptable,spine,,1st chain attack. played once
,player_fighter,attack/1_right,0,oneshot,interuptable,spine,,1st chain attack. played once
,player_fighter,attack/2_back,0,oneshot,interuptable,spine,,2nd chain attack. played once
,player_fighter,attack/2_front,0,oneshot,interuptable,spine,,2nd chain attack. played once
,player_fighter,attack/2_left,0,oneshot,interuptable,spine,,2nd chain attack. played once
,player_fighter,attack/2_right,0,oneshot,interuptable,spine,,2nd chain attack. played once
,player_fighter,attack/3_back,0,oneshot,interuptable,spine,,3rd chain attack. played once
,player_fighter,attack/3_front,0,oneshot,interuptable,spine,,3rd chain attack. played once
,player_fighter,attack/3_left,0,oneshot,interuptable,spine,,3rd chain attack. played once
,player_fighter,attack/3_right,0,oneshot,interuptable,spine,,3rd chain attack. played once
,player_fighter,attack/3_charge_back,0,oneshot,interuptable,spine,,charge. played once
,player_fighter,attack/3_charge_front,0,oneshot,interuptable,spine,,charge. played once
,player_fighter,attack/3_charge_left,0,oneshot,interuptable,spine,,charge. played once
,player_fighter,attack/3_charge_right,0,oneshot,interuptable,spine,,charge. played once
,player_fighter,block/back,0,oneshot,interuptable,spine,,played once
,player_fighter,block/front,0,oneshot,interuptable,spine,,played once
,player_fighter,block/left,0,oneshot,interuptable,spine,,played once
,player_fighter,block/right,0,oneshot,interuptable,spine,,played once
,player_fighter,death/idle,0,loop,must complete,spine,,looping animation for dead players
,player_fighter,death/start,0,loop,must complete,spine,,played when character dies -> death_idle
,player_fighter,dodge/backwards_back,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/backwards_front,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/backwards_left,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/backwards_right,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/back,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/front,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/left,0,oneshot,must complete,spine,,played once
,player_fighter,dodge/right,0,oneshot,must complete,spine,,played once
,player_fighter,idle/back,0,loop,interuptable,spine,,looping animation 
,player_fighter,idle/front,0,loop,interuptable,spine,,looping animation 
,player_fighter,idle/left,0,loop,interuptable,spine,,looping animation 
,player_fighter,idle/right,0,loop,interuptable,spine,,looping animation 
,player_fighter,walk/back,0,loop,interuptable,spine,,looping animation 
,player_fighter,walk/front,0,loop,interuptable,spine,,looping animation 
,player_fighter,walk/left,0,loop,interuptable,spine,,looping animation 
,player_fighter,walk/right,0,loop,interuptable,spine,,looping animation 
,player_fighter,walk/end_back,0,loop,interuptable,spine,,played once
,player_fighter,walk/end_front,0,loop,interuptable,spine,,played once
,player_fighter,walk/end_left,0,loop,interuptable,spine,,played once
,player_fighter,walk/end_right,0,loop,interuptable,spine,,played once
,player_fighter,hit,5,oneshot,must complete,spine,,"layered above current animation. Generic, flips right and left in code"
,,,,,,,,
Enemy characters,,,,,,,,
,enemy_rat,attack/end,0,oneshot,interuptable,sprite sheet,skin: default,"generic, flips right and left in code"
,enemy_rat,attack/start,0,oneshot,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,death/idle,0,loop,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,death/start,0,oneshot,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,block,0,oneshot,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,hit,5,oneshot,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,stagger,0,oneshot,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,idle,0,loop,interuptable,sprite sheet,,"generic, flips right and left in code"
,enemy_rat,walk,0,loop,interuptable,sprite sheet,,"generic, flips right and left in code"
